X0 X1 X2
X1 X3 X4
X2 X5 X6
X3 X7 X8
X4 X9 X10
X5 X11 X12
X6 X13 X14
X7 X15 X16
X8 X17 X18
X9 X19 X20
X10 X21 X22
X11 X23 X24
X12 X25 X26
X13 X27 X28
X14 X29 X30
X15 X31 X32
X16 X33 X34
X17 X35 X36
X18 X37 X38
X19 X39 X40
X20 X41 X42
X21 X43 X44
X22 X45 X46
X23 X47 X48
X24 X49 X50
X25 X51 X52
X26 X53 X54
X27 X55 X56
X28 X57 X58
X29 X59 X60
X30 X61 X62
X31 X63 X64
X32 X65 X66
X33 X67 X68
X34 X69 X70
X35 X71 X72
X36 X73 X74
X37 X75 X76
X38 X77 X78
X39 X79 X80
X40 X81 X82
X41 X83 X84
X42 X85 X86
X43 X87 X88
X44 X89 X90
X45 X91 X92
X46 X93 X94
X47 X95 X96
X48 X97 X98
X49 X99 X100
X50 X101 X102
X51 X103 X104
X52 X105 X106
X53 X107 X108
X54 X109 X110
X55 X111 X112
X56 X113 X114
X57 X115 X116
X58 X117 X118
X59 X119 X120
X60 X121 X122
X61 X123 X124
X62 X125 X126
X63 X127 X128
X64 X129 X130
X65 X131 X132
X66 X133 X134
X67 X135 X136
X68 X137 X138
X69 X139 X140
X70 X141 X142
X71 X143 X144
X72 X145 X146
X73 X147 X148
X74 X149 X150
X75 X151 X152
X76 X153 X154
X77 X155 X156
X78 X157 X158
X79 X159 X160
X80 X161 X162
X81 X163 X164
X82 X165 X166
X83 X167 X168
X84 X169 X170
X85 X171 X172
X86 X173 X174
X87 X175 X176
X88 X177 X178
X89 X179 X180
X90 X181 X182
X91 X183 X184
X92 X185 X186
X93 X187 X188
X94 X189 X190
X95 X191 X192
X96 X193 X194
X97 X195 X196
X98 X197 X198
X99 X199 X200
X100 X201 X202
X101 X203 X204
X102 X205 X206
X103 X207 X208
X104 X209 X210
X105 X211 X212
X106 X213 X214
X107 X215 X216
X108 X217 X218
X109 X219 X220
X110 X221 X222
X111 X223 X224
X112 X225 X226
X113 X227 X228
X114 X229 X230
X115 X231 X232
X116 X233 X234
X117 X235 X236
X118 X237 X238
X119 X239 X240
X120 X241 X242
X121 X243 X244
X122 X245 X246
X123 X247 X248
X124 X249 X250
X125 X251 X252
X126 X253 X254
X127 23 26
X128 27 30
X129 27 28
X130 29 30
X131 25 25
X132 29 30
X133 26 27
X134 30 30
X135 26 26
X136 27 27
X137 28 29
X138 32 34
X139 26 27
X140 30 30
X141 26 29
X142 30 32
X143 25 26
X144 27 29
X145 28 28
X146 28 29
X147 26 28
X148 26 29
X149 26 28
X150 28 31
X151 27 28
X152 28 29
X153 28 33
X154 31 33
X155 26 28
X156 30 30
X157 31 32
X158 31 35
X159 26 26
X160 29 29
X161 26 30
X162 29 30
X163 28 29
X164 29 30
X165 25 29
X166 30 33
X167 30 30
X168 32 37
X169 31 31
X170 33 35
X171 28 31
X172 32 36
X173 32 34
X174 34 35
X175 26 31
X176 29 31
X177 28 33
X178 31 31
X179 30 30
X180 32 32
X181 31 32
X182 34 35
X183 33 34
X184 33 35
X185 31 36
X186 34 36
X187 29 34
X188 32 36
X189 37 39
X190 37 39
X191 23 25
X192 25 30
X193 25 28
X194 27 27
X195 27 27
X196 30 31
X197 29 32
X198 30 32
X199 25 25
X200 25 27
X201 26 29
X202 29 32
X203 28 28
X204 27 30
X205 28 30
X206 32 32
X207 25 27
X208 25 28
X209 27 27
X210 25 30
X211 28 29
X212 28 33
X213 28 30
X214 30 30
X215 27 29
X216 28 28
X217 27 28
X218 28 32
X219 30 32
X220 31 33
X221 30 30
X222 32 34
X223 27 28
X224 28 33
X225 28 28
X226 30 33
X227 30 31
X228 31 34
X229 31 32
X230 32 35
X231 29 31
X232 34 34
X233 32 33
X234 34 38
X235 33 38
X236 37 38
X237 34 36
X238 38 40
X239 25 26
X240 28 31
X241 29 31
X242 32 33
X243 30 34
X244 34 35
X245 30 34
X246 32 37
X247 32 36
X248 36 41
X249 33 38
X250 37 37
X251 33 33
X252 36 39
X253 37 38
X254 38 39
