X0 X1 X2
X1 X3 X4
X2 X5 X6
X3 X7 X8
X4 X9 X10
X5 X11 X12
X6 X13 X14
X7 X15 X16
X8 X17 X18
X9 X19 X20
X10 X21 X22
X11 X23 X24
X12 X25 X26
X13 X27 X28
X14 X29 X30
X15 X31 X32
X16 X33 X34
X17 X35 X36
X18 X37 X38
X19 X39 X40
X20 X41 X42
X21 X43 X44
X22 X45 X46
X23 X47 X48
X24 X49 X50
X25 X51 X52
X26 X53 X54
X27 X55 X56
X28 X57 X58
X29 X59 X60
X30 X61 X62
X31 21 22
X32 23 24
X33 22 22
X34 23 24
X35 23 24
X36 24 24
X37 27 28
X38 26 29
X39 24 26
X40 27 27
X41 26 28
X42 26 29
X43 28 30
X44 27 31
X45 29 29
X46 29 32
X47 23 26
X48 27 28
X49 24 27
X50 27 30
X51 27 28
X52 30 30
X53 26 30
X54 29 31
X55 29 29
X56 27 31
X57 30 33
X58 31 34
X59 28 31
X60 33 35
X61 33 37
X62 37 38
