X0 X1 X2
X1 X3 X4
X2 X5 X6
X3 X7 X8
X4 X9 X10
X5 X11 X12
X6 X13 X14
X7 X15 X16
X8 X17 X18
X9 X19 X20
X10 X21 X22
X11 X23 X24
X12 X25 X26
X13 X27 X28
X14 X29 X30
X15 X31 X32
X16 X33 X34
X17 X35 X36
X18 X37 X38
X19 X39 X40
X20 X41 X42
X21 X43 X44
X22 X45 X46
X23 X47 X48
X24 X49 X50
X25 X51 X52
X26 X53 X54
X27 X55 X56
X28 X57 X58
X29 X59 X60
X30 X61 X62
X31 X63 X64
X32 X65 X66
X33 X67 X68
X34 X69 X70
X35 X71 X72
X36 X73 X74
X37 X75 X76
X38 X77 X78
X39 X79 X80
X40 X81 X82
X41 X83 X84
X42 X85 X86
X43 X87 X88
X44 X89 X90
X45 X91 X92
X46 X93 X94
X47 X95 X96
X48 X97 X98
X49 X99 X100
X50 X101 X102
X51 X103 X104
X52 X105 X106
X53 X107 X108
X54 X109 X110
X55 X111 X112
X56 X113 X114
X57 X115 X116
X58 X117 X118
X59 X119 X120
X60 X121 X122
X61 X123 X124
X62 X125 X126
X63 20 21
X64 22 22
X65 23 24
X66 25 25
X67 23 26
X68 24 26
X69 23 23
X70 26 27
X71 21 23
X72 24 26
X73 22 22
X74 25 26
X75 23 24
X76 24 24
X77 25 27
X78 26 28
X79 21 23
X80 24 25
X81 23 25
X82 24 27
X83 25 26
X84 25 27
X85 26 27
X86 30 31
X87 23 25
X88 25 26
X89 23 26
X90 27 27
X91 26 28
X92 26 29
X93 25 30
X94 27 29
X95 21 23
X96 23 26
X97 26 27
X98 27 28
X99 24 25
X100 27 29
X101 26 26
X102 28 28
X103 24 24
X104 25 26
X105 25 27
X106 29 29
X107 24 27
X108 26 27
X109 26 26
X110 28 30
X111 25 26
X112 25 26
X113 23 26
X114 27 27
X115 24 25
X116 26 26
X117 26 29
X118 28 32
X119 26 26
X120 27 29
X121 28 28
X122 29 31
X123 26 28
X124 27 28
X125 30 30
X126 29 34
